"testID","Instance_number","idNode","x","y","z","h","Cluster"
1,541,18,8,6,3,44,7
1,542,18,2,6,17,19,9
1,543,0,2,13,5,50,5
1,544,4,8,5,1,44,7
1,545,6,10,6,11,19,1
1,546,19,5,21,21,56,2
1,547,8,4,3,12,19,9
1,548,9,0,18,28,44,2
1,549,22,3,17,30,44,2
1,550,21,3,10,24,59,4
1,551,17,7,9,31,59,4
1,552,22,2,7,18,19,9
1,553,18,5,2,3,0,10
1,554,13,3,18,28,44,2
1,555,2,9,7,19,28,1
1,556,22,6,2,15,19,9
1,557,6,11,4,18,28,1
1,558,3,4,5,0,50,5
1,559,21,8,5,18,28,1
1,560,10,6,2,3,0,10
1,561,1,0,19,28,44,2
1,562,5,0,7,10,50,5
1,563,6,15,0,0,19,3
1,564,18,10,11,26,35,11
1,565,17,9,1,31,9,0
1,566,20,2,7,19,19,9
1,567,3,14,0,20,56,12
1,568,10,11,5,19,28,1
1,569,8,7,2,2,0,10
1,570,18,7,19,27,44,2
1,571,2,14,3,12,9,3
1,572,9,8,6,11,19,1
1,573,12,12,9,0,50,8
1,574,1,15,8,8,59,8
1,575,6,11,10,27,35,11
1,576,12,5,18,20,56,2
1,577,7,13,9,9,59,8
1,578,13,12,0,2,19,3
1,579,21,0,9,24,59,4
1,580,11,5,9,3,9,6
1,581,19,6,11,29,59,4
1,582,14,11,10,26,35,11
1,583,6,4,21,21,56,2
1,584,16,2,13,5,50,5
1,585,12,12,9,23,50,12
1,586,10,11,6,29,56,4
1,587,17,15,9,6,50,8
1,588,10,3,17,30,44,2
1,589,15,4,8,15,9,6
1,590,1,11,6,28,56,4
1,591,7,11,4,10,19,1
1,592,10,5,18,23,56,2
1,593,18,2,13,4,50,5
1,594,20,8,5,1,44,7
1,595,20,7,9,2,9,10
1,596,15,2,11,22,9,6
1,597,1,11,7,29,56,4
1,598,5,10,5,11,19,1
1,599,17,6,3,0,0,10
1,600,16,5,20,21,56,2
1,601,9,8,2,31,9,0
1,602,15,6,8,31,59,4
1,603,5,15,8,8,59,8
1,604,0,2,7,17,19,9
1,605,6,8,6,19,28,1
1,606,14,5,20,21,56,2
1,607,0,11,5,19,28,1
1,608,20,15,13,31,9,11
1,609,3,14,13,29,9,11
1,610,15,8,3,29,9,0
1,611,0,5,2,3,0,10
1,612,6,6,2,14,19,9
1,613,9,7,6,27,40,4
1,614,5,11,6,10,19,1
1,615,22,11,10,26,35,11
1,616,20,12,8,12,59,8
1,617,20,14,13,29,9,11
1,618,3,2,15,31,28,2
1,619,16,8,7,10,19,1
1,620,15,6,10,29,59,4
1,621,20,15,8,8,59,8
1,622,19,11,4,18,28,1
1,623,19,0,3,24,9,6
1,624,6,6,7,27,40,4
1,625,5,0,1,22,9,6
1,626,2,8,5,19,28,1
1,627,10,8,6,19,28,1
1,628,22,11,4,18,28,1
1,629,12,3,19,31,44,2
1,630,10,8,6,1,44,7
1,631,21,3,18,28,44,2
1,632,19,5,10,2,9,6
1,633,3,15,5,29,56,4
1,634,14,13,1,21,56,12
1,635,19,6,2,3,0,10
1,636,11,2,7,18,19,9
1,637,3,6,8,31,59,4
1,638,22,10,5,18,28,1
1,639,20,3,19,30,44,2
1,640,2,3,13,5,50,5
1,641,7,5,3,15,19,9
1,642,1,12,12,26,9,11
1,643,12,4,6,27,40,4
1,644,7,10,11,26,35,11
1,645,19,3,18,30,44,2
1,646,16,0,14,29,28,2
1,647,15,2,8,20,9,6
1,648,20,4,3,2,0,10
1,649,8,12,1,20,56,12
1,650,16,8,7,3,44,7
1,651,5,14,2,15,9,3
1,652,4,2,19,29,44,2
1,653,17,14,0,1,19,3
1,654,20,15,1,1,19,3
1,655,6,6,10,28,59,4
1,656,7,15,10,4,50,8
1,657,10,7,10,28,59,4
1,658,5,2,13,5,50,5
1,659,12,1,15,27,28,2
1,660,11,7,8,3,9,10
1,661,11,4,9,14,9,6
1,662,15,11,4,10,19,1
1,663,0,3,19,29,44,2
1,664,8,8,7,10,19,1
1,665,3,4,3,2,0,10
1,666,22,15,0,20,56,12
1,667,22,15,1,1,19,3
1,668,20,1,14,29,28,2
1,669,8,4,3,2,0,10
1,670,2,1,15,31,28,2
1,671,12,15,0,1,19,3
1,672,20,3,17,18,9,6
1,673,22,1,15,28,28,2
1,674,12,11,1,3,19,3
1,675,14,11,4,18,28,1
1,676,2,3,15,31,28,2
1,677,18,8,5,18,28,1
1,678,16,7,4,14,50,5
1,679,12,12,8,10,59,8
1,680,6,3,16,16,9,6
1,681,6,11,10,26,35,11
1,682,16,11,9,27,35,11
1,683,5,13,8,8,59,8
1,684,8,10,2,28,9,0
1,685,17,3,10,24,59,4
1,686,12,11,7,31,56,4
1,687,9,7,16,22,56,2
1,688,18,4,7,12,50,5
1,689,0,6,10,29,59,4
1,690,21,6,3,3,0,10
1,691,2,3,8,20,9,6
1,692,11,2,5,16,19,9
1,693,4,12,2,20,56,12
1,694,15,7,2,2,0,10
1,695,0,0,1,22,9,6
1,696,8,11,8,27,35,11
1,697,11,11,10,26,35,11
1,698,16,9,1,31,9,0
1,699,0,11,9,27,35,11
1,700,9,13,6,28,56,4
1,701,11,6,2,14,19,9
1,702,18,2,7,19,19,9
1,703,19,8,6,11,19,1
1,704,2,8,6,3,44,7
1,705,18,11,4,10,19,1
1,706,20,7,5,3,50,5
1,707,13,12,0,0,19,3
1,708,6,4,19,20,56,2
1,709,7,7,10,28,59,4
1,710,0,8,2,28,9,0
1,711,21,3,18,30,44,2
1,712,9,7,9,2,9,10
1,713,18,1,15,31,28,2
1,714,0,2,10,4,50,5
1,715,7,0,1,22,9,6
1,716,9,0,15,28,28,2
1,717,4,3,17,30,44,2
1,718,1,9,6,1,44,7
1,719,2,11,6,11,19,1
1,720,2,2,7,17,19,9
1,721,5,2,16,31,44,2
1,722,19,8,8,26,35,4
1,723,16,8,6,11,19,1
1,724,14,3,8,20,9,6
1,725,22,4,8,15,9,6
1,726,11,6,8,1,9,10
1,727,19,6,2,14,19,9
1,728,5,12,9,23,50,12
1,729,22,8,5,18,28,1
1,730,15,7,6,27,40,4
1,731,6,14,13,29,9,11
1,732,11,5,19,23,56,2
1,733,2,12,1,2,19,3
1,734,15,15,13,31,9,11
1,735,11,2,15,31,28,2
1,736,22,10,8,27,35,11
1,737,9,13,1,3,19,3
1,738,17,10,7,30,56,4
1,739,0,4,5,0,50,5
1,740,16,2,6,16,19,9
1,741,12,8,6,11,19,1
1,742,0,7,7,19,19,1
1,743,6,11,8,27,35,11
1,744,8,3,19,29,44,2
1,745,18,3,17,30,44,2
1,746,17,11,4,11,19,1
1,747,17,6,2,15,19,9
1,748,1,10,6,31,56,4
1,749,15,4,12,29,59,4
1,750,6,6,2,14,19,9
1,751,18,4,2,3,0,10
1,752,21,8,0,26,9,6
1,753,9,2,7,19,19,9
1,754,10,4,12,29,59,4
1,755,4,11,4,18,28,1
1,756,14,8,2,31,9,0
1,757,20,2,5,16,19,9
1,758,15,13,8,9,59,8
1,759,10,1,6,19,19,9
1,760,19,0,15,28,28,2
1,761,22,4,11,12,9,6
1,762,14,11,4,18,28,1
1,763,7,13,8,8,59,8
1,764,7,8,6,1,44,7
1,765,6,6,3,0,0,10
1,766,14,9,6,1,44,7
1,767,10,3,17,18,9,6
1,768,0,5,18,23,56,2
1,769,9,4,19,20,56,2
1,770,21,4,3,2,0,10
1,771,22,8,8,26,35,4
1,772,21,15,14,28,9,11
1,773,13,0,13,16,9,6
1,774,16,13,9,10,59,8
1,775,11,15,9,6,50,8
1,776,17,6,2,14,19,9
1,777,17,13,1,3,19,3
1,778,22,3,8,20,9,6
1,779,2,6,10,29,59,4
1,780,21,9,6,11,19,1
1,781,8,9,6,11,19,1
1,782,17,14,13,29,9,11
1,783,14,8,8,26,35,4
1,784,9,5,3,15,19,9
1,785,20,13,6,28,56,4
1,786,15,4,18,23,56,2
1,787,3,4,4,3,50,5
1,788,2,1,15,31,28,2
1,789,7,6,3,0,0,10
1,790,3,5,5,25,40,4
1,791,12,5,10,2,9,6
1,792,22,12,0,0,19,3
1,793,11,6,3,14,19,9
1,794,10,1,15,31,28,2
1,795,10,0,3,24,9,6
1,796,3,12,8,11,59,8
1,797,6,8,6,11,19,1
1,798,13,6,0,2,0,10
1,799,14,0,9,24,59,4
1,800,12,11,6,18,28,1
1,801,22,3,18,30,44,2
1,802,13,14,14,30,9,11
1,803,17,4,3,12,19,9
1,804,9,8,2,31,9,0
1,805,17,8,6,19,28,1
1,806,16,15,0,1,19,3
1,807,18,14,0,13,9,3
1,808,9,5,7,27,40,4
1,809,11,9,7,1,44,7
1,810,11,6,3,0,0,10
1,811,18,9,9,26,35,11
1,812,7,11,4,18,28,1
1,813,2,4,7,26,40,4
1,814,6,10,8,27,35,11
1,815,20,5,7,27,40,4
1,816,16,2,19,30,44,2
1,817,14,12,0,13,9,3
1,818,0,3,19,29,44,2
1,819,9,4,8,15,9,6
1,820,7,11,6,28,56,4
1,821,3,10,7,30,56,4
1,822,0,7,10,28,59,4
1,823,17,12,8,11,59,8
1,824,22,4,2,3,0,10
1,825,6,8,6,5,44,7
1,826,20,6,2,15,19,9
1,827,16,1,15,31,28,2
1,828,0,2,5,16,19,9
1,829,22,5,20,21,56,2
1,830,19,7,2,15,19,1
1,831,12,7,3,3,0,10
1,832,12,8,4,19,28,1
1,833,1,1,1,21,9,6
1,834,19,8,5,0,44,7
1,835,22,8,6,3,44,7
1,836,15,1,15,31,28,2
1,837,13,7,3,14,19,1
1,838,17,0,14,29,28,2
1,839,8,3,18,28,44,2
1,840,16,6,2,15,19,9
1,841,9,15,0,1,19,3
1,842,3,4,6,11,50,5
1,843,21,10,5,4,44,7
1,844,8,4,21,21,56,2
1,845,20,12,1,2,19,3
1,846,3,3,18,28,44,2
1,847,20,10,2,28,9,0
1,848,2,13,9,9,59,8
1,849,16,11,10,27,35,11
1,850,11,4,8,15,9,6
1,851,12,2,7,18,19,9
1,852,4,12,8,12,59,8
1,853,4,4,4,2,50,5
1,854,5,4,19,20,56,2
1,855,16,11,11,27,35,11
1,856,3,6,3,14,19,9
1,857,21,12,0,20,56,12
1,858,11,15,8,8,59,8
1,859,8,4,9,14,9,6
1,860,0,12,1,20,56,12
1,861,5,7,5,3,50,5
1,862,22,11,7,29,56,4
1,863,11,11,4,18,28,1
1,864,16,10,8,27,35,11
1,865,21,4,18,23,56,2
1,866,12,10,6,31,56,4
1,867,13,10,5,18,28,1
1,868,22,3,13,11,50,5
1,869,11,0,15,28,28,2
1,870,10,14,13,29,9,11
